Intent,Count,Percentage
COMPLEX_ADVICE,59411,51.99
GREETING,4927,4.31
GARBAGE,3877,3.39
BYE,2771,2.42
THANK_YOU,1700,1.49
HELP_SAVINGS_SCREEN,1693,1.48
HELP_ADD_TRANSACTION,1283,1.12
ADVICE_MOTIVATION,1216,1.06
DEVELOPER_INFO,1064,0.93
COMPLAINT,1064,0.93
BANK_LINKING,912,0.80
HELP_GAMIFICATION_XP,912,0.80
HELP_RESET_DATA,912,0.80
HELP_ADD_INCOME,912,0.80
HELP_INITIAL_BALANCE,912,0.80
HELP_INCOME_ALLOCATION,912,0.80
TESTING,912,0.80
HELP_GAMIFICATION_LEVELS,912,0.80
ADVICE_GENERAL_TIP,912,0.80
HELP_RECEIPT_SCAN,912,0.80
HELP_GAMIFICATION_PENALTY,912,0.80
HELP_REBALANCING,912,0.80
JOKE,912,0.80
WHY_BERUANG,912,0.80
TARGET_AUDIENCE,760,0.67
ADVICE_STUDENT_TIPS,760,0.67
DEF_50_30_20,760,0.67
NAV_EXPENSES,760,0.67
HELP_DELETE_TRANSACTION,760,0.67
DEF_CREDIT_SCORE,760,0.67
DEF_NEEDS,760,0.67
HELP_AI_CATEGORIZATION,760,0.67
CONTACT_SUPPORT,760,0.67
HELP_EDIT_TRANSACTION,760,0.67
INTERNET_REQ,760,0.67
DEF_INFLATION,760,0.67
DEF_KWSP,760,0.67
DEF_WANTS,760,0.67
APP_PURPOSE,760,0.67
NAV_PROFILE,760,0.67
DATA_SECURITY,760,0.67
HELP_KNOWLEDGE_BASE,760,0.67
HELP_WITHDRAW_SAVINGS,760,0.67
WHO_ARE_YOU,760,0.67
APP_VERSION,608,0.53
NAV_CHATBOT,608,0.53
DEF_SAVINGS_DEF,608,0.53
DEF_EMERGENCY_FUND,608,0.53
DEF_ASB,608,0.53
DEF_DEBT_SNOWBALL,608,0.53
ADVICE_GENERAL_SAVING,608,0.53
DEF_TABUNG_HAJI,608,0.53
DEF_DEBT_AVALANCHE,608,0.53
DEF_PTPTN,608,0.53
DEF_COMPOUND_INTEREST,608,0.53
NAV_HOME,608,0.53
